symbol,companyName,industry,cik,sector,country,mktCap,price,revenue,inventory,daysOfSalesOutstanding,daysOfInventoryOutstanding,daysOfPayablesOutstanding,priceEarningsRatio,grossProfitMargin,operatingProfitMargin,returnOnEquity,enterpriseValue,roic,capexToDepreciation,investedCapital,revenuePerShare,bookValuePerShare,ebitda,eps
AVGO,Broadcom Inc.,Semiconductors,1730168,Technology,US,1051421721600,224.31,14054000000,134000000,28.279493382666900,31.35391923990500,29.608076009501200,45.5969848519889,0.6405293866514870,0.3292301124235090,0.06389077691421140,846863450000.0,0.038230790167282900,0.04672539256989660,143875000000,3.0036332549690100,14.46420175251120,7238000000,0.9
ACLS,"Axcelis Technologies, Inc.",Semiconductors,1113232,Technology,US,2257223584,69.44,256564000,-1652000,64.38498776133830,178.62845682633700,33.18164454206860,17.564576642786600,0.42862599585288700,0.18285106250292300,0.049791204127946700,3336871500.0,0.04219009770169530,0.9278033794162830,970342000,7.882150537634410,29.97216589861750,60604000,1.49
POWI,"Power Integrations, Inc.",Semiconductors,833640,Technology,US,3405052248,59.88,115837000,2204000,12.923849892521400,286.545399308852,46.29533285231460,63.73077531313410,0.5453438883949000,0.09998532420556470,0.019074682366696800,3584637040.0000000,0.015414664469095900,0.6616254906488110,713995000,2.038773606491020,13.186423077600000,11582000,0.25
QRVO,"Qorvo, Inc.",Semiconductors,1604778,Technology,US,6776619123,71.69,1046509000,16912000,51.06366022652460,103.96010997949100,48.18538829646560,-140.9548264984230,0.4255156907394010,0.009245023215280520,-0.005112649842280540,10695160600.0,-0.012546109031608100,0.4339059686386880,4928767000,11.029119153510500,35.93964336150750,101178000,-0.18
LSCC,Lattice Semiconductor Corporation,Semiconductors,855658,Technology,US,7636694850,55.35,127091000,-2961000,64.77130559992450,238.7262391188490,73.39009720072080,256.2651488178030,0.6899623104704500,0.05922527952412050,0.01021974585666770,7263652680.0,0.009364989902987320,0.2485291645654730,677424000,0.9228953808393060,5.108889034122680,26324000,0.0522
VSH,"Vishay Intertechnology, Inc.",Semiconductors,103730,Technology,US,2222317991,16.36,735353000,0,52.45129889998410,105.81956302291000,32.31604701695550,-33.79245699259030,0.20518444882933800,-0.02485336974215110,-0.008903124374327040,2914307510.0,-0.004781590434008990,1.110681966601360,3239809000,5.37566249735001,15.889431476756900,36122000,-0.14
ALAB,"Astera Labs, Inc. Common Stock",Semiconductors,1736297,Technology,US,20571828542,129.7,113086000,4699000,20.20356189095030,87.16529810781860,66.22991788646910,-270.52469676017400,0.7770811594715530,-0.07866579417434520,-0.008535181629744200,8090259090.0,0.03766318242966490,19.666666666666700,892686000,0.7210691763745690,5.672424456899470,-8047000,-0.0484
MRVL,"Marvell Technology, Inc.",Semiconductors,1835632,Technology,US,98921096000,114.32,1516100000,-108200000,59.23817690125980,66.29467729493440,41.50938544613010,-27.127528094041100,0.23045973220763800,-0.46355781280918100,-0.05057242632488090,76612189000.0,-0.036256195743939700,0.22108345534407000,16379700000,1.751299526394830,15.44749913364910,-702800000,0.47
FSLR,"First Solar, Inc.",Solar,1274494,Energy,US,20259655920,189.24,887668000,-218882000,91.66197271953030,305.77156007478100,53.980834484364400,21.33071626682350,0.5016639103809080,0.3627471081530480,0.04121286633249260,26391315560.0,0.03765616548232800,3.903623670810920,7595958000,8.29216527010995,70.93618810077630,447508000,2.92
CEVA,"CEVA, Inc.",Semiconductors,1173489,Technology,US,755581866,31.98,27207000,0,127.78696658948100,0.0,44.53420853319870,-109.04342105263200,0.8544124673797180,-0.09644576763332970,-0.00493283666328028,563793700.0,-0.04257816909357720,0.41818181818181800,255933000,1.1490413041642000,11.224343272235800,-1634000,0.0971
